code,name,cas,prefixed_id
c1,"Carbon dioxide, fossil",000124-38-9,9806d86b-3e1d-49fd-88a3-a44d02b6f2ed
c2,N2O,010024-97-2,cb1db4a4-a9e1-4f74-999b-f6ffc38115ac
c3,CH4,000074-82-8,937a88f5-e80a-49ec-beb4-a70a99cd6e7c
c4,HFCs,,5f249504-4212-4406-b06e-47cea0d02805
c5,PFCs,,834ac1aa-57d0-40ad-b793-d5c68e4552d9
c6,SF6,002551-62-4,f0f27b80-46c8-4043-a9b5-7790bf4c72fb
c7,NOx,,d6aedfb5-a8d9-4ea6-8b79-461b88a3098b
c8,SOx,,d33aff22-1772-4c0e-85fd-a7438224a783
c9,NH3,007664-41-7,2395127c-a3cf-4c45-b736-5c9a6fae85c7
c10,NMVOC,,3d57bc34-906d-4596-a0c5-bf57776096a9
c11,CO,000630-08-0,b6511f7c-eb04-4643-b242-7967ce3a8d0b
c12,CFCs,,ab769cf4-5f7b-4f43-a22e-e2113875f09d
c13,HCFCs,,e009ea46-f5c9-4ad1-9015-07fad8b0d2ac
c14,Pb,007439-92-1,69660596-c48b-448a-85bd-67e85ed5cd40
c15,Cd,007440-43-9,2c418186-c762-4432-bb38-4431a9b2e0ea
c16,Hg,007439-97-6,15681d21-bd3a-47b0-9116-8042fdb5a06f
c17,As,007440-38-2,b7a61f80-7fb3-431b-98d9-0b6270583626
c18,Cr,007440-47-3,20f1e302-d4c2-4ba3-9f10-660ae85da42e
c19,Cu,007440-50-8,c05c46f4-b65d-4a6b-aad3-c625da2902c4
c20,Ni,007440-02-0,907d89ea-3801-49ba-8168-ca5df620d8cb
c21,Se,007782-49-2,e542ff5b-7f87-40b6-94aa-a7fd34bf8d8c
c22,Zn,007440-66-6,38abc0db-1fcb-4314-9301-a146def4fb50
c23,Aldrin,000309-00-2,350cc0fa-74c2-4f4c-bc48-da0c50d01ad7
c24,Chlordane,000057-74-9,db815649-0d17-489e-9218-928b9aaba517
c25,Chlordecone,000143-50-0,ddc389b6-0dc9-413e-8dff-d714f61e3bf9
c26,Dieldrin,000060-57-1,2c0a5159-2e10-4f6d-9253-a94f5225dad4
c27,Endrin,000072-20-8,920795c4-f707-4d53-96a2-d4dbfb6b371b
c28,Heptachlor,000076-44-8,e2f0ef0e-7beb-4969-bc19-3e9dba6385aa
c29,Hexabr.-biph.,,0304cb5c-4626-468e-a9b2-3cce7cd73691
c30,Mirex,002385-85-5,7bd95947-bd80-4f78-b89c-948dfe53be0d
c31,Toxaphene,008001-35-2,e8172bb0-843d-44a0-8a5c-13e1ca1fb3e6
c32,HCH,,ce5814cc-d4e8-4cb7-8963-a48d4cd3a8bc
c33,DDT,000050-29-3,9a0c67d4-a240-4574-a203-eb2109e36500
c34,PCBs,001336-36-3,a72bac08-bac0-4b24-ae9e-fb0dbea4c02e
c35,dioxin,000290-67-5,b213d04b-52dc-495e-a22e-ba29e21662bf
c36,PM10,,f6cbaf80-4fa9-409f-937f-acacae3dc9b5
c37,"PAH (total of 4 components, sum of EM_AIR.43, 45, 46, 47)",,c3c90f05-2d17-45cd-bf15-7a12097e944a
c38,Benzene,000071-43-2,49438bbc-b627-485f-b721-1ee196314445
c39,"1,3 Butadiene",000106-99-0,399dddd6-6462-4a8a-97a2-fc099382a59f
c40,Formaldehyd,000050-00-0,ad283ca2-ed76-4b29-88a1-e77f11b6d164
c41,PM2.5,,e50842ab-e0d2-483c-a22b-0d0dbeabc6d7
c42,Furans,000110-00-9,714d0706-aedb-4058-a82a-0b1f8904f8bb
c43,Benzo(a),000050-32-8,09b8b692-b5fa-47a9-b011-9f6225b67a04
c44,PBDEs,,e80555b1-f465-4121-a14b-322d64030d13
c45,Benzo-[b]-fluoranthene,000205-99-2,6decbdba-1b1f-4c04-9f64-6a00a8107226
c46,Benzo-[k]-fluoranthene,000207-08-9,3c1212a9-1bb1-4ea1-ad16-7fc1ff5a4678
c47,"Indeno-[1,2,3-cd]-pyrene",000193-39-5,7af987a7-4507-4f04-a386-680c8c99442a
c48,HCB,000118-74-1,0966a2d8-2b34-4bdd-8ce6-331b3ffe2009
c49,PCDD_F,,b620734a-c7fa-44ae-82c2-2ed2a305b99c
c50,TSP,007601-54-9,8cc1719a-d92e-454d-a06c-d14c3ab892b0
c51,N,007727-37-9,c5843a0c-d8a2-4ceb-891c-7f87cefb916f
c52,P,007723-14-0,2dff349b-7227-4a20-97d7-f9d8bf53b99d
c53,BOD,,8893347d-cb7b-41b4-9e4e-9daeb44ca6d1
c54,C,007440-44-0,0db25aae-50c2-43d9-982a-b99f25c935ec
c55,other emissions,,3df26fe5-41c1-449c-b77e-ce33ef263f97
c56,"Carbon dioxide, biogenic",000124-38-9,0eafb4da-bf0a-46a1-986a-b69afeeec014
c57,"Methane, biogenic",000074-82-8,c200076d-3e60-425f-9268-2af482d9c87d
c58,"Methane, fossil",000074-82-8,394c18df-11a3-4e80-9ed4-4f756578fef8
c59,Asbestos,,7645890b-3d08-4d81-bcdc-d7824e433a2c
c60,Arsenic,,3cd6b1dd-5bc1-4e02-ac3d-0a6d4a9cca4b
c61,Cadmium,,f9d2d7b5-c758-43e1-bfa3-3b62feae21aa
c62,Antimony___associated_ore,,34b0fb14-b63e-40ae-b6bd-54e5bc00e61d
c63,Abrasives__natural__puzzolan__pumice__volcanic_cinder_etc__,,c2745db4-7407-4a76-8977-ec2fe253f614
c64,Ball_clay,,3311afb6-ac17-4aae-9e2c-0dbeffe6ed5f
c65,Barite,,78f2f170-24ea-484c-af89-3302022ad81c
c66,Bentonite__sepiolite_and_attapulgite,,a0f1fa89-9541-496a-90e8-e84b19416b81
c67,Bismuth___associated_ore,,f7ec4fcb-6334-4b44-901f-2ebabded8f9e
c68,Borate_minerals,,86ef3686-a30b-46ab-b51b-82acdb67c9ab
c69,Bromine,,efb6b012-a1b4-4abf-8e6b-4bfddc85223b
c70,Cadmium,,b1ccf929-e4d1-42f3-ad90-7bee0cb8300a
c71,Calcite,,ac1b94ee-301f-4a92-9ccf-2f6ca0bacb20
c72,Calcium_carbonate,,6e3e8199-4264-46aa-bf6d-91b66f52b93e
c73,Chromium___associated_ore,,53a89d2c-9fe5-4a7d-922e-09393a39f071
c74,Cobalt___associated_ore,,727ac4d1-987d-4453-af3e-eb11c74655ba
c75,Common_clay__clay_for_bricks_etc_,,ef7f8029-23bd-429f-bd44-0bc49e787f63
c76,Copper___associated_ore,,40e29731-4df3-466b-9f99-93dbe72d6765
c77,Diatomite,,224db123-29b0-483d-a66f-f2391384f56c
c78,Dolomite,,7ff02d54-3f9a-4d49-9656-1a352bdead38
c79,Feldspar,,852ac03e-fb55-42eb-b31f-2adc77c105db
c80,Fluorspar,,70ebcb76-8893-45cd-88a9-7b324894b3ec
c81,Gallium,,90309b89-597f-46b9-8a33-39912dfa2e6f
c82,Germanium,,d7f8d0b6-5d21-47c1-aac8-d7bfc6990ae9
c83,Gold___associated_ore,,465caca4-c855-4a71-81cc-5e12305fd2e0
c84,Graphite__natural,,575ccd8e-89d3-43a1-93a7-1bd23f6894ff
c85,Gypsum_and_anhydrite,,6cd0e307-3008-4a32-80cc-3c1c125573fa
c86,Igneous_rock__basalt__basaltic_lava__diabase__granite__porphyry__etc__,,c7d834bc-7e00-4cac-ba90-d70b6ddf93bc
c87,Indium,,7b3ac540-15be-4f1b-abe1-4cc17f6cd34d
c88,Industrial_sand,,a6e76407-bb65-4047-965c-6ce89cead34a
c89,Iodine,,10d7b445-b10f-4e08-a0d4-f4cb58779cfa
c90,Iron___associated_ore,,9a29657c-046b-4f06-8c10-c32288f9dc11
c91,Kaolin,,a592f540-1960-4ae1-86d2-fbcf680e35f6
c92,Laterite,,6ede7ad0-63f6-426e-b381-6280e57d1fe7
c93,Lead___associated_ore,,e208384f-e9b4-4455-a8df-d43791cf13f7
c94,Lithium_ore,,a3451ee5-b58b-47dd-8967-e79201e9e127
c95,Magnesite,,2adff612-dcae-4a88-b484-600f910671ad
c96,Magnesium,,4443fedb-82b6-4e50-abe5-0fd790f7058e
c97,Manganese___associated_ore,,f682d154-6045-405d-8d9c-6ccc82a6dae2
c98,Manganese_ore,,a66b540c-18c9-4cc9-8d8a-1a577f19bdfe
c99,Mercury___associated_ore,,330cb09e-322f-4afa-bfd8-08861de46daf
c100,Molybdenum___associated_ore,,b63ce41e-137e-476a-bb37-de396877a094
c101,Nickel___associated_ore,,7e108115-b8a2-4f2c-88c2-3357c6308fb2
c102,Niobium___associated_ore,,1a49f81f-255d-4d78-a2b4-77f618e4bc9d
c103,Palladium___associated_ore,,fbf9965b-374d-40a5-8ebf-848f6466f111
c104,Perlite,,88c677ae-625d-4591-a1db-a06970d6960d
c105,Phosphate_rock,,ce3181ce-5eb1-4096-bdbd-13a15d3a01ec
c106,Platinum___associated_ore,,2edfdaa5-084b-4488-b894-0137353192fd
c107,Potter_clay,,36861c09-14ec-44cc-aa46-343f4c2ec706
c108,Pyrite,,5d5f8fef-bea6-4fc3-8991-517e535e5b16
c109,Rhenium,,27a080c5-2dad-400f-9f08-6d48f75b363a
c110,Rhodium___associated_ore,,4411d6d7-792a-4f56-a221-1c40f8fadd98
c111,Sand_and_gravel,,59d4ce9f-f689-4e36-a887-ca597fa87345
c112,Selenium,,898f957e-8db0-42f7-b7d3-dc72a684b8f1
c113,Silica_Sand,,200a122f-8739-462d-ad80-144d9382dc78
c114,Silver___associated_ore,,29e61d03-2129-44dc-80c9-0d48cb60dd43
c115,Strontium_mineral,,5928c480-167f-4e05-85ac-b33b6e2f2e9f
c116,Sulphur_ore,,b2f35cd9-72bb-4e9b-b9c5-4f1408a8c180
c117,Talc__steatite__soapstone__pyrophyllite_,,48f07cdd-76a0-461b-a2ac-139779ecc103
c118,Tantalum___associated_ore,,6d99b99e-fc60-4a08-b97b-045df6aad9d8
c119,Tellurium___associated_ore,,1f018e9f-d1ee-47b3-9a7e-dfe153fd977d
c120,Tin___associated_ore,,113754af-ba92-44bd-8449-3a288a1a985b
c121,Titanium___associated_ore,,3851d5ac-e48a-4c8d-b841-8e0375a38efc
c122,Titanium_ore,,884d36e9-d958-4935-a92e-5541e7e862ce
c123,Tungsten___associated_ore,,af08e2f8-c7b0-45ea-b8c8-40d83ea3dd1a
c124,Uranium___associated_ore,,b5dd5407-dcb2-4d7a-9da4-e56176bdfc74
c125,Vanadium___associated_ore,,d1ee5798-ebfc-407d-b607-08d4f9f0aeb1
c126,Vermiculite,,eb8b68f5-36cd-4dc3-9a07-cf8ac3aa2850
c127,Zinc___associated_ore,,fe5147d5-bfcd-4afb-9403-676299e7b855
c128,Zircon,,8cdbd7ef-8718-4827-86f8-65499148c484
